elev_ft_navd88,elev_ft_ngvd29,stor_af
2069.7,2065,1157000
2084.7,2080,1335800
2104.7,2100,1582800
2124.7,2120,1855000
2144.7,2140,2170100
2164.7,2160,2525700
2184.7,2180,2918900
2204.7,2200,3351400
2224.7,2220,3869200
2244.7,2240,4528300
2264.7,2260,5297200
2284.7,2280,6135000
2304.7,2300,7044700
2314.7,2310,7527300
2324.13,2319.43,8000500
2354.7,2350,9640632
2384.7,2380,11518583
2398.82,2394.12,12554351
2404.7,2400,13023045
2414.7,2410,13855310
2419.7,2415,14284136
2424.7,2420,14721095
2429.7,2425,15166583
2434.7,2430,15620202
2439.7,2435,16082153
2444.7,2440,16552236
2449.7,2445,17030649
2454.7,2450,17517393
2459.7,2455,18012467
2464.7,2460,18515872
2469.7,2465,19027409
2474.77,2470.07,19554417
2479.7,2475,20075475
2484.7,2480,20614300
